"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","준공일자","개관일자","설립운영주체구분명","박물관미술관종류명","박물관미술관유형명","폐관일자","폐관사유","자본금","소요자금","법인설립목적","허가조건","법인해산일자","법인명",
"74","박물관, 미술관","03_07_05_P","6470000","B04012017000011","2017-11-16","","01","영업/정상","1","영업","","","","","","","","경상북도 문경시 문경읍 진안리 360번지 10호","경상북도 문경시 문경읍 문경대로 2416-0 (문경도자기전시관,문경유교문화관)","","문경도자기박물관","2018-02-23 11:07:37","U","2024-10-11 02:40:00","","296752.798632273","360516.983584969","박물관","","20020617","공립","1종","전문박물관","","","","","","","","",
"75","박물관, 미술관","03_07_05_P","6470000","B04012017000012","1993-03-25","","01","영업/정상","1","영업","","","","","","","","경상북도 포항시 북구 흥해읍 성내리 39번지 8호","경상북도 포항시 북구 흥해읍 한동로 51-0 (영일민속박물관)","","영일민속박물관","2018-02-23 11:07:45","U","2024-10-11 02:40:00","","411286.188410137","292569.384993593","박물관","","19831029","공립","1종","전문박물관","","","","","","","","",
"76","박물관, 미술관","03_07_05_P","6470000","B04012017000014","2007-11-08","","01","영업/정상","1","영업","","","","","","","","경상북도 안동시 도산면 동부리 108번지 3호","경상북도 안동시 도산면 퇴계로 2189-0 (산림자원개발원)","","경상북도산림과학박물관","2018-06-25 20:38:41","U","2024-10-11 02:40:00","","363007.817754802","358527.60824622","박물관","","20040525","공립","1종","전문박물관","","","","","","","","",
"77","박물관, 미술관","03_07_05_P","6470000","B04012017000015","1993-02-11","","01","영업/정상","1","영업","","","","","","","","경상북도 안동시 성곡동 784번지 1호","경상북도 안동시 민속촌길 13-0 (성곡동,시립민속박물관)","","안동시립박물관","2023-04-19 14:03:09","U","2024-10-11 02:40:00","","358063.813138973","343470.807276221","박물관","","19920626","공립","1종","전문박물관","","","0","","","","","",
"78","박물관, 미술관","03_07_05_P","6470000","B04012017000016","2009-11-05","","01","영업/정상","1","영업","","","","","","","","경상북도 안동시 동부동 447번지 8호","경상북도 안동시 서동문로 203-0 (동부동,전통문화콘텐츠박물관,안동문화원)","","전통문화콘텐츠박물관","2018-02-23 11:12:40","U","2024-10-11 02:40:00","","355172.564999974","341951.400901501","박물관","","20070901","공립","1종","전문박물관","","","","","","","","",
"79","박물관, 미술관","03_07_05_P","6470000","B04012020000005","2020-11-27","","01","영업/정상","1","영업","","","","","","","","경상북도 성주군 성주읍 성산리 822번지 0호","경상북도 성주군 성주읍 성산4길 37-0","","성주성산동고분군전시관","2020-11-27 15:28:00","U","2024-10-11 02:40:00","","317212.010951429","268168.324976031","박물관","","20201125","공립","1종","전문박물관","","","","","","","","",
"80","박물관, 미술관","03_07_05_P","6470000","B04012020000006","2020-12-18","","01","영업/정상","1","영업","","","","","","","","경상북도 구미시 남통동 28번지 7호 1통 구미성리학역사관 1호","경상북도 구미시 금오산로 336-13, 1층 (남통동,구미성리학역사관)","","구미성리학역사관","2020-12-18 15:22:12","U","2024-10-11 02:40:00","","318206.085012933","291240.207159781","박물관","","20201023","공립","1종","전문박물관","","","","","","","","",
"81","박물관, 미술관","03_07_05_P","6470000","B04022023000001","2023-10-17","","01","영업/정상","1","영업","","","","","","","","경상북도 안동시 서후면 이송천리 138번지 0호","경상북도 안동시 서후면 이송천길 240-10, 1동 (송강미술관)","","송강미술관","2023-10-17 16:36:51","U","2024-10-11 02:40:00","","351548.760938942","347038.521261678","미술관","","20230612","사립","1종","미술관","","","0","","","","","",
"82","박물관, 미술관","03_07_05_P","6470000","B04012008000001","2008-06-23","","03","폐업","3","폐업","2015-03-25","","","","","","","경상북도 문경시 마성면 하내리 754번지 1호","경상북도 문경시 마성면 하내2길 55","","측량박물관","2014-01-14 14:23:41","U","2024-10-11 02:40:00","","296518.719297881","352009.465742495","박물관","","20071006","사립","1종","전문박물관","20150325","자진폐관","","","","","","",
"83","박물관, 미술관","03_07_05_P","6470000","B04012016000001","1996-08-14","","03","폐업","3","폐업","2016-05-11","","","","","","","경상북도 영덕군 남정면 원척리 267번지 9호","경상북도 영덕군 남정면 동해대로 3763","","경보화석박물관","2016-05-11 13:34:14","U","2024-10-11 02:40:00","","413426.894868373","313222.057082404","박물관","","20160511","사립","1종","전문박물관","20160511","문화융성사업단-3727(2016.5.11), 설립자의 건강악화","","","","","","",
"84","박물관, 미술관","03_07_05_P","6470000","B04012017000003","2017-02-14","","03","폐업","3","폐업","2018-01-19","","","","","","","경상북도 경주시 양북면 호암리 417번지 0호","경상북도 경주시 양북면 기림로 437-17","","기림사성보박물관","2018-03-06 13:35:35","U","2024-10-11 02:40:00","","417041.404343699","262399.530047865","박물관","","20170101","사립","1종","전문박물관","20180119","박물관 등록요건 중 학예사 보유 미충족","","","","","","",
"85","박물관, 미술관","03_07_05_P","6470000","B04012017000022","1999-05-31","","03","폐업","3","폐업","2021-02-10","","","","","","","경상북도 청송군 청송읍 송생리 784번지 107호","경상북도 청송군 청송읍 주왕산로 222-0 (청송민속박물관)","","청송민속박물관","2018-02-23 11:13:26","U","2024-10-11 02:40:00","","386859.547471648","323004.946292051","박물관","","19990621","공립","1종","전문박물관","20210210","박물관 운영 효율성 저하 및 방문객 수 저조에 따른 객주문학관과의 복합 전시공간 구축으로 새로운 관광자원화 시도 및 문화시설 운영 효율성 제고하기 위함","","","","","","",
"86","박물관, 미술관","03_07_05_P","6470000","B04012017000013","2006-10-23","","03","폐업","3","폐업","2021-10-05","","","","","","","경상북도 김천시 대항면 운수리 91번지 1호","경상북도 김천시 대항면 직지사길 118-0 (김천세계도자기박물관)","","김천세계도자기박물관","2020-02-18 11:28:16","U","2024-10-11 02:40:00","","290954.036450123","291198.787485598","박물관","","20060426","공립","1종","전문박물관","20211005","김천시립박물관의 별관으로 편입 조치","0","","","","","",
